date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:42:14	27242/27242	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2011:45:51%20GMT	https://www.enableds.com/products/megamobile/mixed/index.html	C:/My%20Web%20Sites/https___www.enableds.com_products_megamobile_mixed_index.html/www.enableds.com/products/megamobile/mixed/index.html	(from )
09:42:14	86/86	---M-Z	200	added ('OK')	text/plain	date:Sat,%2007%20Apr%202018%2002:42:14%20GMT	https://www.enableds.com/robots.txt		(from )
09:42:15	19384/19384	---MCZ	200	added ('OK')	text/css	etag:W/%2258fe6449-57a0%22	https://www.enableds.com/products/megamobile/mixed/styles/style.css	C:/My%20Web%20Sites/https___www.enableds.com_products_megamobile_mixed_index.html/www.enableds.com/products/megamobile/mixed/styles/style.css	(from https://www.enableds.com/products/megamobile/mixed/index.html)
09:42:15	10678/10678	---MCZ	200	added ('OK')	text/css	etag:W/%2258fe6447-2f34%22	https://www.enableds.com/products/megamobile/mixed/styles/skin.css	C:/My%20Web%20Sites/https___www.enableds.com_products_megamobile_mixed_index.html/www.enableds.com/products/megamobile/mixed/styles/skin.css	(from https://www.enableds.com/products/megamobile/mixed/index.html)
09:42:15	154171/154171	---MCZ	200	added ('OK')	text/css	etag:W/%2258fe6446-30142%22	https://www.enableds.com/products/megamobile/mixed/styles/framework.css	C:/My%20Web%20Sites/https___www.enableds.com_products_megamobile_mixed_index.html/www.enableds.com/products/megamobile/mixed/styles/framework.css	(from https://www.enableds.com/products/megamobile/mixed/index.html)
09:42:15	51284/51284	---MCZ	200	added ('OK')	text/css	etag:W/%2258fe6447-c854%22	https://www.enableds.com/products/megamobile/mixed/styles/ionicons.min.css	C:/My%20Web%20Sites/https___www.enableds.com_products_megamobile_mixed_index.html/www.enableds.com/products/megamobile/mixed/styles/ionicons.min.css	(from https://www.enableds.com/products/megamobile/mixed/index.html)
09:42:16	85624/85624	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258fe6443-14e7e%22	https://www.enableds.com/products/megamobile/mixed/scripts/jquery.js	C:/My%20Web%20Sites/https___www.enableds.com_products_megamobile_mixed_index.html/www.enableds.com/products/megamobile/mixed/scripts/jquery.js	(from https://www.enableds.com/products/megamobile/mixed/index.html)
09:42:16	142208/142208	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258fe6444-26da2%22	https://www.enableds.com/products/megamobile/mixed/scripts/plugins.js	C:/My%20Web%20Sites/https___www.enableds.com_products_megamobile_mixed_index.html/www.enableds.com/products/megamobile/mixed/scripts/plugins.js	(from https://www.enableds.com/products/megamobile/mixed/index.html)
09:42:16	33709/33709	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258fe6442-b706%22	https://www.enableds.com/products/megamobile/mixed/scripts/custom.js	C:/My%20Web%20Sites/https___www.enableds.com_products_megamobile_mixed_index.html/www.enableds.com/products/megamobile/mixed/scripts/custom.js	(from https://www.enableds.com/products/megamobile/mixed/index.html)
09:42:17	29657/29657	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2011:45:51%20GMT	https://www.enableds.com/products/megamobile/mixed/index2.html	C:/My%20Web%20Sites/https___www.enableds.com_products_megamobile_mixed_index.html/www.enableds.com/products/megamobile/mixed/index2.html	(from https://www.enableds.com/products/megamobile/mixed/index.html)
